Candidate: 0xb2, Correlation: -0.2331552525131347
Candidate: 0x30, Correlation: -0.1075959866810265
Candidate: 0x39, Correlation: -0.10746951960280696
Candidate: 0xf7, Correlation: -0.1070434100957678
Candidate: 0xff, Correlation: -0.10702002109720953
Candidate: 0x82, Correlation: -0.1066118262167111
Candidate: 0xa0, Correlation: -0.10657010730933243
Candidate: 0xaa, Correlation: -0.10586451004663638
Candidate: 0xf1, Correlation: -0.10580734443293927
Candidate: 0x7d, Correlation: -0.10578243472009972
Candidate: 0xe7, Correlation: -0.10508956436456876
Candidate: 0x15, Correlation: -0.1050029506519977
Candidate: 0x27, Correlation: -0.10490724213579047
Candidate: 0xd1, Correlation: -0.10449421553049627
Candidate: 0xfc, Correlation: -0.10427499006620977
Candidate: 0xc7, Correlation: -0.1042148867537004
Candidate: 0x21, Correlation: -0.10357647329121684
Candidate: 0xc, Correlation: -0.10352177643929392
Candidate: 0x7, Correlation: -0.10339905420925757
Candidate: 0x80, Correlation: -0.1029498982779218
Candidate: 0xfb, Correlation: -0.10202852577695411
Candidate: 0x16, Correlation: -0.10170973299792829
Candidate: 0xe3, Correlation: -0.10158584409879698
Candidate: 0xdb, Correlation: -0.1004876537705252
Candidate: 0xc3, Correlation: -0.10044657674877056
Candidate: 0x23, Correlation: -0.09995477745918495
Candidate: 0x1, Correlation: -0.09971786924402501
Candidate: 0x29, Correlation: -0.09958443311339209
Candidate: 0x59, Correlation: -0.09898854543441352
Candidate: 0x11, Correlation: -0.09710675009464746
Candidate: 0xc4, Correlation: -0.09650556897966979
Candidate: 0x35, Correlation: -0.09642560560700096
Candidate: 0x1f, Correlation: -0.09597222735392454
Candidate: 0x31, Correlation: -0.09569580176812244
Candidate: 0x26, Correlation: -0.0956039310901197
Candidate: 0xe6, Correlation: -0.09522692809192057
Candidate: 0x3, Correlation: -0.09507296213021371
Candidate: 0xde, Correlation: -0.0950139498010566
Candidate: 0xce, Correlation: -0.09465325305211883
Candidate: 0x94, Correlation: -0.09423389893057306
Candidate: 0x7f, Correlation: -0.09369877030634369
Candidate: 0x13, Correlation: -0.09220325695096644
Candidate: 0xe0, Correlation: -0.09165111254233588
Candidate: 0x49, Correlation: -0.09093126585551888
Candidate: 0x1c, Correlation: -0.09080942945041227
Candidate: 0xee, Correlation: -0.09075298383970036
Candidate: 0xfe, Correlation: -0.09072596781244364
Candidate: 0xeb, Correlation: -0.09018800459845988
Candidate: 0xda, Correlation: -0.0901148547901067
Candidate: 0x7b, Correlation: -0.08965342130200413
Candidate: 0x3f, Correlation: -0.08931328948549355
Candidate: 0xcb, Correlation: -0.0893030222705909
Candidate: 0x1b, Correlation: -0.08897112461477472
Candidate: 0x3b, Correlation: -0.08872395837920577
Candidate: 0xc0, Correlation: -0.0886362723766115
Candidate: 0x79, Correlation: -0.08858082373326556
Candidate: 0x34, Correlation: -0.08807804688928247
Candidate: 0x4f, Correlation: -0.08760693693126746
Candidate: 0x45, Correlation: -0.08711427677212402
Candidate: 0x73, Correlation: -0.08615334829552573
Candidate: 0x1a, Correlation: -0.08591973989737907
Candidate: 0x52, Correlation: -0.08563277652050798
Candidate: 0x2c, Correlation: -0.0853016246643151
Candidate: 0x2a, Correlation: -0.08361495185121959
Candidate: 0x4c, Correlation: -0.08357851780140435
Candidate: 0xc6, Correlation: -0.08305417925245856
Candidate: 0x76, Correlation: -0.08293656866418005
Candidate: 0x24, Correlation: -0.08285642833201466
Candidate: 0x18, Correlation: -0.08208655112780545
Candidate: 0x7a, Correlation: -0.0815344151168513
Candidate: 0x8a, Correlation: -0.08152008570283942
Candidate: 0x37, Correlation: -0.08138587213208899
Candidate: 0x78, Correlation: -0.0807063033248475
Candidate: 0xd0, Correlation: -0.08041854094279764
Candidate: 0xb, Correlation: -0.07982013193067054
Candidate: 0x17, Correlation: -0.07971495442223732
Candidate: 0x75, Correlation: -0.07969367150833138
Candidate: 0x69, Correlation: -0.07962933484913898
Candidate: 0xd7, Correlation: -0.0796212171811684
Candidate: 0x6f, Correlation: -0.07875858360557995
Candidate: 0x2b, Correlation: -0.0780337850083075
Candidate: 0x3c, Correlation: -0.0777130554702819
Candidate: 0x61, Correlation: -0.07678713789055787
Candidate: 0xf4, Correlation: -0.07670381861477726
Candidate: 0x8, Correlation: -0.07668244355473733
Candidate: 0x77, Correlation: -0.07529165577453698
Candidate: 0x2, Correlation: -0.07494836812908151
Candidate: 0x55, Correlation: -0.07459525275261455
Candidate: 0x67, Correlation: -0.07366604661716412
Candidate: 0x41, Correlation: -0.0736060774587767
Candidate: 0x63, Correlation: -0.07233172707704633
Candidate: 0xc2, Correlation: -0.07210541463207144
Candidate: 0x7e, Correlation: -0.07201959280610915
Candidate: 0x4, Correlation: -0.07147272602207808
Candidate: 0x7c, Correlation: -0.07075191288647158
Candidate: 0x38, Correlation: -0.07069796860224863
Candidate: 0x58, Correlation: -0.06997170915031374
Candidate: 0x5f, Correlation: -0.06995016597360468
Candidate: 0x65, Correlation: -0.0697397776343456
Candidate: 0x1e, Correlation: -0.06909218600181496
Candidate: 0x43, Correlation: -0.06891756075834286
Candidate: 0x70, Correlation: -0.06885959002244718
Candidate: 0x10, Correlation: -0.0673543488171775
Candidate: 0xd4, Correlation: -0.06731817348067684
Candidate: 0xea, Correlation: -0.06720497061461644
Candidate: 0x20, Correlation: -0.06613437434414264
Candidate: 0x5c, Correlation: -0.06561010164467587
Candidate: 0x6a, Correlation: -0.06535049809800723
Candidate: 0x2e, Correlation: -0.06514442951118776
Candidate: 0x57, Correlation: -0.06452335585299551
Candidate: 0x68, Correlation: -0.06432114851196309
Candidate: 0x5b, Correlation: -0.06411795346881793
Candidate: 0x71, Correlation: -0.06389018975583206
Candidate: 0x47, Correlation: -0.06335659942219878
Candidate: 0x51, Correlation: -0.06276990504792233
Candidate: 0x28, Correlation: -0.06258925494942763
Candidate: 0x6b, Correlation: -0.06249977414306753
Candidate: 0x0, Correlation: -0.061628563282314926
Candidate: 0xca, Correlation: -0.061607318498071856
Candidate: 0x53, Correlation: -0.06145375201315015
Candidate: 0x48, Correlation: -0.0609156701523229
Candidate: 0x6c, Correlation: -0.06052835745906277
Candidate: 0x62, Correlation: -0.06051889566327124
Candidate: 0x74, Correlation: -0.059591965093555445
Candidate: 0x66, Correlation: -0.0589810610098285
Candidate: 0x6, Correlation: -0.057921561816035715
Candidate: 0x4b, Correlation: -0.05650816818694521
Candidate: 0xe, Correlation: -0.05633295504243924
Candidate: 0x6e, Correlation: -0.054999505171456374
Candidate: 0x54, Correlation: -0.05494143466798541
Candidate: 0x60, Correlation: -0.054250369978879234
Candidate: 0x56, Correlation: -0.05392034039249346
Candidate: 0x5a, Correlation: -0.05391789274652404
Candidate: 0x42, Correlation: -0.05372610399740209
Candidate: 0x50, Correlation: -0.053656256578381516
Candidate: 0x64, Correlation: -0.05197573460179113
Candidate: 0x44, Correlation: -0.051937054902666716
Candidate: 0x46, Correlation: -0.05146293103574204
Candidate: 0x14, Correlation: -0.05086143970493848
Candidate: 0x4e, Correlation: -0.05072110109930372
Candidate: 0x5e, Correlation: -0.05024451256848181
Candidate: 0x4a, Correlation: -0.04984305641089213
Candidate: 0x40, Correlation: -0.04966048271888957
Candidate: 0xa, Correlation: -0.040300246540043785
