Candidate: 0xb7, Correlation: -0.26981259840697586
Candidate: 0x66, Correlation: -0.05276851254434562
Candidate: 0xc0, Correlation: -0.05276225584427231
Candidate: 0xbc, Correlation: -0.05269165979604308
Candidate: 0xa2, Correlation: -0.052617033336821266
Candidate: 0xcd, Correlation: -0.05256956271895069
Candidate: 0xfd, Correlation: -0.052516782646743594
Candidate: 0x88, Correlation: -0.052349395626585186
Candidate: 0x5d, Correlation: -0.052087694969891164
Candidate: 0x11, Correlation: -0.0519701761963518
Candidate: 0xea, Correlation: -0.05176122792589356
Candidate: 0x5e, Correlation: -0.05163052950801862
Candidate: 0x64, Correlation: -0.05151954635288186
Candidate: 0x5, Correlation: -0.05151340139674513
Candidate: 0x40, Correlation: -0.05117027345401286
Candidate: 0xce, Correlation: -0.051149421799004245
Candidate: 0x52, Correlation: -0.0511191989690031
Candidate: 0x3e, Correlation: -0.05111487021625298
Candidate: 0x9c, Correlation: -0.051078141966687404
Candidate: 0x4a, Correlation: -0.05104212222328731
Candidate: 0x51, Correlation: -0.050931063969851226
Candidate: 0x16, Correlation: -0.05088612020884883
Candidate: 0x7e, Correlation: -0.05084786682856593
Candidate: 0xe1, Correlation: -0.050773354137755064
Candidate: 0x0, Correlation: -0.050562563583848405
Candidate: 0x8d, Correlation: -0.05054428401830197
Candidate: 0x6c, Correlation: -0.050354758850273365
Candidate: 0xae, Correlation: -0.05023401647853321
Candidate: 0xbe, Correlation: -0.050094598863725005
Candidate: 0xac, Correlation: -0.050093983217974626
Candidate: 0xec, Correlation: -0.050065055497855185
Candidate: 0xb0, Correlation: -0.049930658821416604
Candidate: 0x4e, Correlation: -0.04982111667190204
Candidate: 0x8, Correlation: -0.049691758862035855
Candidate: 0xde, Correlation: -0.04949593712070495
Candidate: 0xf2, Correlation: -0.04943368398019173
Candidate: 0xd, Correlation: -0.04941178586284215
Candidate: 0x21, Correlation: -0.049350677596829345
Candidate: 0xdc, Correlation: -0.049325546331184744
Candidate: 0x2e, Correlation: -0.04930554349100729
Candidate: 0xe8, Correlation: -0.04921998758107633
Candidate: 0x78, Correlation: -0.04917548396745533
Candidate: 0x1, Correlation: -0.049103996093712146
Candidate: 0x7d, Correlation: -0.049042088727304624
Candidate: 0x61, Correlation: -0.0490245378637739
Candidate: 0xc8, Correlation: -0.04896282313878149
Candidate: 0x89, Correlation: -0.04874242123707745
Candidate: 0x8f, Correlation: -0.048614666185130134
Candidate: 0xca, Correlation: -0.04854511435866001
Candidate: 0x31, Correlation: -0.048528292619917535
Candidate: 0xf4, Correlation: -0.04852737950322311
Candidate: 0x4d, Correlation: -0.04849846961916053
Candidate: 0x6, Correlation: -0.048363935307809594
Candidate: 0xa4, Correlation: -0.04831803272631133
Candidate: 0xe0, Correlation: -0.04830852293853216
Candidate: 0x6a, Correlation: -0.04830562237371847
Candidate: 0xc6, Correlation: -0.04820652456502373
Candidate: 0x2, Correlation: -0.04815503194360698
Candidate: 0x9, Correlation: -0.04812261715970756
Candidate: 0x58, Correlation: -0.048001099462585906
Candidate: 0xd2, Correlation: -0.04787917438297261
Candidate: 0x80, Correlation: -0.04783636061287187
Candidate: 0xfe, Correlation: -0.04755753640364855
Candidate: 0x9e, Correlation: -0.04753971399814787
Candidate: 0xfa, Correlation: -0.04744662121915282
Candidate: 0xda, Correlation: -0.047420109764386195
Candidate: 0xf0, Correlation: -0.04740250878722365
Candidate: 0x4f, Correlation: -0.04735433535921589
Candidate: 0x9d, Correlation: -0.047320670730522776
Candidate: 0x5a, Correlation: -0.04706464431974846
Candidate: 0x7a, Correlation: -0.04694618500470103
Candidate: 0x75, Correlation: -0.04693796668205099
Candidate: 0xee, Correlation: -0.04680736525753244
Candidate: 0x81, Correlation: -0.046781991918844044
Candidate: 0x3a, Correlation: -0.046759799563291335
Candidate: 0x30, Correlation: -0.04673412241787833
Candidate: 0x3c, Correlation: -0.046673222811651614
Candidate: 0x72, Correlation: -0.04663595932503731
Candidate: 0xfc, Correlation: -0.046504008491747746
Candidate: 0x5c, Correlation: -0.04643366212040956
Candidate: 0x7c, Correlation: -0.04626972323268101
Candidate: 0xcc, Correlation: -0.04624239712076992
Candidate: 0x74, Correlation: -0.04623708623738932
Candidate: 0x8c, Correlation: -0.04612173136919295
Candidate: 0xc2, Correlation: -0.04598351026612956
Candidate: 0x96, Correlation: -0.04583650781620854
Candidate: 0x54, Correlation: -0.04575744428319058
Candidate: 0x14, Correlation: -0.045688242635390515
Candidate: 0xe2, Correlation: -0.04565686246225942
Candidate: 0x41, Correlation: -0.04484931953981387
Candidate: 0x84, Correlation: -0.044619443121763386
Candidate: 0xc4, Correlation: -0.04421404170689307
Candidate: 0x4, Correlation: -0.04387083009486218
Candidate: 0x44, Correlation: -0.04369552240112842
Candidate: 0x9a, Correlation: -0.04351698286184836
Candidate: 0x69, Correlation: -0.042844233232780984
Candidate: 0xe6, Correlation: -0.04163045806412269
