Candidate: 0x7e, Correlation: -0.5725495116799901
Candidate: 0x87, Correlation: -0.09111035833520835
Candidate: 0xb9, Correlation: -0.09060959888650856
Candidate: 0xcd, Correlation: -0.0905548946819098
Candidate: 0xad, Correlation: -0.09044460741329231
Candidate: 0x41, Correlation: -0.0892985177364075
Candidate: 0x8d, Correlation: -0.08890535691424681
Candidate: 0xe2, Correlation: -0.08888728150397067
Candidate: 0xa1, Correlation: -0.08874472113439613
Candidate: 0x51, Correlation: -0.08869976415853793
Candidate: 0x69, Correlation: -0.08868741823786834
Candidate: 0x89, Correlation: -0.0885055472999713
Candidate: 0x99, Correlation: -0.08757865365798384
Candidate: 0x49, Correlation: -0.08641418497686382
Candidate: 0xda, Correlation: -0.08634075136818983
Candidate: 0x6d, Correlation: -0.0862357524399986
Candidate: 0xaf, Correlation: -0.08620303510829636
Candidate: 0x52, Correlation: -0.08589291494254638
Candidate: 0x67, Correlation: -0.08583489288968268
Candidate: 0x95, Correlation: -0.08545085865576817
Candidate: 0xd2, Correlation: -0.08527024090640581
Candidate: 0x61, Correlation: -0.08508510370196477
Candidate: 0xf8, Correlation: -0.08437914853607145
Candidate: 0x59, Correlation: -0.08434957947240976
Candidate: 0xc5, Correlation: -0.08430217172289392
Candidate: 0x4, Correlation: -0.0842051092758317
Candidate: 0xd3, Correlation: -0.0835478664356301
Candidate: 0x45, Correlation: -0.08312139749977397
Candidate: 0xa5, Correlation: -0.08230699399920019
Candidate: 0x93, Correlation: -0.08229506443978922
Candidate: 0xcf, Correlation: -0.08202000903750314
Candidate: 0xcb, Correlation: -0.0816469945448286
Candidate: 0x5f, Correlation: -0.0815838789479659
Candidate: 0x9f, Correlation: -0.08116251702659115
Candidate: 0xab, Correlation: -0.08091346621390076
Candidate: 0x55, Correlation: -0.08028366489592345
Candidate: 0x17, Correlation: -0.07944555000596792
Candidate: 0x4d, Correlation: -0.07916697986781891
Candidate: 0xa7, Correlation: -0.07899637162807154
Candidate: 0x8, Correlation: -0.07751826364637185
Candidate: 0xa3, Correlation: -0.07641799749613849
Candidate: 0x24, Correlation: -0.07631924713416377
Candidate: 0xc7, Correlation: -0.0760816472589775
Candidate: 0xbb, Correlation: -0.07603020640327052
Candidate: 0x3b, Correlation: -0.07573299913635609
Candidate: 0x8c, Correlation: -0.07517112089805751
Candidate: 0x65, Correlation: -0.07470630997247232
Candidate: 0x47, Correlation: -0.07364340836018794
Candidate: 0x4b, Correlation: -0.07335639449223064
Candidate: 0xd7, Correlation: -0.07313836707017551
Candidate: 0xc3, Correlation: -0.07304112447218654
Candidate: 0x53, Correlation: -0.07250701968861116
Candidate: 0x37, Correlation: -0.07178884662364036
Candidate: 0xf4, Correlation: -0.07043447813066925
Candidate: 0x6f, Correlation: -0.06973212801550208
Candidate: 0x8f, Correlation: -0.06970920338011792
Candidate: 0x63, Correlation: -0.06966311660998079
Candidate: 0x6b, Correlation: -0.06932713893060802
Candidate: 0x9c, Correlation: -0.06857031626133958
Candidate: 0x5b, Correlation: -0.06824791012046302
Candidate: 0xb7, Correlation: -0.06807967479212694
Candidate: 0x4f, Correlation: -0.06801060489978901
Candidate: 0x8b, Correlation: -0.06800039382840145
Candidate: 0x43, Correlation: -0.0676516158805519
Candidate: 0xe4, Correlation: -0.06412637917253994
Candidate: 0x70, Correlation: -0.06357488962240684
Candidate: 0x2c, Correlation: -0.06250077555802876
Candidate: 0x9b, Correlation: -0.06248636491078908
Candidate: 0xe8, Correlation: -0.061861177208329274
Candidate: 0x34, Correlation: -0.06144413546741589
Candidate: 0x97, Correlation: -0.06046366130109811
Candidate: 0x28, Correlation: -0.05988439805499737
Candidate: 0x6c, Correlation: -0.05948427733065039
Candidate: 0xc, Correlation: -0.056754545746313924
Candidate: 0x1c, Correlation: -0.056632153886306824
Candidate: 0xa0, Correlation: -0.05587574392632138
Candidate: 0x30, Correlation: -0.05549959349720702
Candidate: 0xa4, Correlation: -0.05446429153703938
Candidate: 0x5c, Correlation: -0.054275400064782216
Candidate: 0xec, Correlation: -0.054060006194851344
Candidate: 0xa8, Correlation: -0.05393311640859395
Candidate: 0xdc, Correlation: -0.053455235503955575
Candidate: 0x64, Correlation: -0.053010308945559546
Candidate: 0x44, Correlation: -0.05270296485757056
Candidate: 0x14, Correlation: -0.05193693166500502
Candidate: 0x38, Correlation: -0.0517014545818245
Candidate: 0xf0, Correlation: -0.05072981756800818
Candidate: 0x18, Correlation: -0.050354847487466395
Candidate: 0xc8, Correlation: -0.04979578064816818
Candidate: 0x68, Correlation: -0.049020221689457355
Candidate: 0x57, Correlation: -0.049017127653756216
Candidate: 0xd8, Correlation: -0.04862902013683014
Candidate: 0xc4, Correlation: -0.046783754273320134
Candidate: 0x48, Correlation: -0.04665908325135606
Candidate: 0x50, Correlation: -0.046647348161947856
Candidate: 0xac, Correlation: -0.046152128279156976
Candidate: 0x20, Correlation: -0.04445313289167817
Candidate: 0x60, Correlation: -0.043203470984705394
Candidate: 0xd4, Correlation: -0.04310006420157721
Candidate: 0x90, Correlation: -0.04309883419397035
Candidate: 0xb0, Correlation: -0.042262506117447536
Candidate: 0x4c, Correlation: -0.041931340562666695
Candidate: 0xe0, Correlation: -0.04117886622929277
Candidate: 0x54, Correlation: -0.03766388919571507
Candidate: 0xcc, Correlation: -0.03664082569554878
Candidate: 0xb8, Correlation: -0.03645007584290774
Candidate: 0xb4, Correlation: -0.036375289424856495
Candidate: 0x58, Correlation: -0.036306986975420966
Candidate: 0x94, Correlation: -0.031038502197504786
Candidate: 0xd0, Correlation: -0.030638752149657784
Candidate: 0x98, Correlation: -0.0291431226900569
Candidate: 0x10, Correlation: -0.028292901156549713
